match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1415114,2024,2024-08-04,"Kent County Cricket Ground, Beckenham",1,0.1,Kent,Middlesex,MK O'Riordan,B Swanepoel,ER Bamber,0,0,,,,,,,,,
1415114,2024,2024-08-04,"Kent County Cricket Ground, Beckenham",1,0.2,Kent,Middlesex,MK O'Riordan,B Swanepoel,ER Bamber,0,0,,,,,,,,,
1415114,2024,2024-08-04,"Kent County Cricket Ground, Beckenham",1,0.3,Kent,Middlesex,MK O'Riordan,B Swanepoel,ER Bamber,0,1,1,,,,,,,,
1415114,2024,2024-08-04,"Kent County Cricket Ground, Beckenham",1,0.4,Kent,Middlesex,MK O'Riordan,B Swanepoel,ER Bamber,4,0,,,,,,,,,
1415114,2024,2024-08-04,"Kent County Cricket Ground, Beckenham",1,0.5,Kent,Middlesex,MK O'Riordan,B Swanepoel,ER Bamber,1,0,,,,,,,,,
1415114,2024,2024-08-04,"Kent County Cricket Ground, Beckenham",1,0.6,Kent,Middlesex,B Swanepoel,MK O'Riordan,ER Bamber,0,0,,,,,,,,,
1415114,2024,2024-08-04,"Kent County Cricket Ground, Beckenham",1,0.7,Kent,Middlesex,B Swanepoel,MK O'Riordan,ER Bamber,2,0,,,,,,,,,
1415114,2024,2024-08-04,"Kent County Cricket Ground, Beckenham",1,1.1,Kent,Middlesex,MK O'Riordan,B Swanepoel,I Kaushal,0,0,,,,,,,,,
1415114,2024,2024-08-04,"Kent County Cricket Ground, Beckenham",1,1.2,Kent,Middlesex,MK O'Riordan,B Swanepoel,I Kaushal,3,0,,,,,,,,,
1415114,2024,2024-08-04,"Kent County Cricket Ground, Beckenham",1,1.3,Kent,Middlesex,B Swanepoel,MK O'Riordan,I Kaushal,0,0,,,,,,,,,
1415114,2024,2024-08-04,"Kent County Cricket Ground, Beckenham",1,1.4,Kent,Middlesex,B Swanepoel,MK O'Riordan,I Kaushal,0,0,,,,,,,,,
1415114,2024,2024-08-04,"Kent County Cricket Ground, Beckenham",1,1.5,Kent,Middlesex,B Swanepoel,MK O'Riordan,I Kaushal,0,1,1,,,,,,,,
1415114,2024,2024-08-04,"Kent County Cricket Ground, Beckenham",1,1.6,Kent,Middlesex,B Swanepoel,MK O'Riordan,I Kaushal,0,0,,,,,,caught,B Swanepoel,,
1415114,2024,2024-08-04,"Kent County Cricket Ground, Beckenham",1,1.7,Kent,Middlesex,JDM Evison,MK O'Riordan,I Kaushal,0,0,,,,,,,,,
1415114,2024,2024-08-04,"Kent County Cricket Ground, Beckenham",1,2.1,Kent,Middlesex,MK O'Riordan,JDM Evison,ER Bamber,0,0,,,,,,,,,
