match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1451777,2024,2024-09-26,"Gymkhana Club Ground, Nairobi",1,0.1,Jersey,Qatar,H Carlyon,NA Greenwood,Amir Farooq,0,1,1,,,,,,,,
1451777,2024,2024-09-26,"Gymkhana Club Ground, Nairobi",1,0.2,Jersey,Qatar,H Carlyon,NA Greenwood,Amir Farooq,0,4,,,4,,,,,,
1451777,2024,2024-09-26,"Gymkhana Club Ground, Nairobi",1,0.3,Jersey,Qatar,H Carlyon,NA Greenwood,Amir Farooq,0,2,2,,,,,,,,
1451777,2024,2024-09-26,"Gymkhana Club Ground, Nairobi",1,0.4,Jersey,Qatar,NA Greenwood,H Carlyon,Amir Farooq,0,0,,,,,,,,,
1451777,2024,2024-09-26,"Gymkhana Club Ground, Nairobi",1,0.5,Jersey,Qatar,NA Greenwood,H Carlyon,Amir Farooq,0,0,,,,,,,,,
1451777,2024,2024-09-26,"Gymkhana Club Ground, Nairobi",1,0.6,Jersey,Qatar,NA Greenwood,H Carlyon,Amir Farooq,0,0,,,,,,,,,
1451777,2024,2024-09-26,"Gymkhana Club Ground, Nairobi",1,0.7,Jersey,Qatar,NA Greenwood,H Carlyon,Amir Farooq,0,0,,,,,,,,,
1451777,2024,2024-09-26,"Gymkhana Club Ground, Nairobi",1,0.8,Jersey,Qatar,NA Greenwood,H Carlyon,Amir Farooq,0,0,,,,,,,,,
1451777,2024,2024-09-26,"Gymkhana Club Ground, Nairobi",1,1.1,Jersey,Qatar,H Carlyon,NA Greenwood,Muhammad Jabir,0,1,,1,,,,,,,
1451777,2024,2024-09-26,"Gymkhana Club Ground, Nairobi",1,1.2,Jersey,Qatar,H Carlyon,NA Greenwood,Muhammad Jabir,0,1,1,,,,,,,,
1451777,2024,2024-09-26,"Gymkhana Club Ground, Nairobi",1,1.3,Jersey,Qatar,H Carlyon,NA Greenwood,Muhammad Jabir,2,0,,,,,,,,,
1451777,2024,2024-09-26,"Gymkhana Club Ground, Nairobi",1,1.4,Jersey,Qatar,H Carlyon,NA Greenwood,Muhammad Jabir,0,1,,1,,,,,,,
1451777,2024,2024-09-26,"Gymkhana Club Ground, Nairobi",1,1.5,Jersey,Qatar,H Carlyon,NA Greenwood,Muhammad Jabir,4,0,,,,,,,,,
1451777,2024,2024-09-26,"Gymkhana Club Ground, Nairobi",1,1.6,Jersey,Qatar,H Carlyon,NA Greenwood,Muhammad Jabir,0,0,,,,,,,,,
1451777,2024,2024-09-26,"Gymkhana Club Ground, Nairobi",1,1.7,Jersey,Qatar,H Carlyon,NA Greenwood,Muhammad Jabir,0,0,,,,,,,,,
1451777,2024,2024-09-26,"Gymkhana Club Ground, Nairobi",1,1.8,Jersey,Qatar,H Carlyon,NA Greenwood,Muhammad Jabir,0,0,,,,,,,,,
1451777,2024,2024-09-26,"Gymkhana Club Ground, Nairobi",1,1.9,Jersey,Qatar,H Carlyon,NA Greenwood,Muhammad Jabir,0,0,,,,,,,,,
1451777,2024,2024-09-26,"Gymkhana Club Ground, Nairobi",1,2.1,Jersey,Qatar,NA Greenwood,H Carlyon,Amir Farooq,0,0,,,,,,,,,
1451777,2024,2024-09-26,"Gymkhana Club Ground, Nairobi",1,2.2,Jersey,Qatar,NA Greenwood,H Carlyon,Amir Farooq,0,0,,,,,,,,,
1451777,2024,2024-09-26,"Gymkhana Club Ground, Nairobi",1,2.3,Jersey,Qatar,NA Greenwood,H Carlyon,Amir Farooq,0,1,1,,,,,,,,
1451777,2024,2024-09-26,"Gymkhana Club Ground, Nairobi",1,2.4,Jersey,Qatar,NA Greenwood,H Carlyon,Amir Farooq,1,0,,,,,,,,,
1451777,2024,2024-09-26,"Gymkhana Club Ground, Nairobi",1,2.5,Jersey,Qatar,H Carlyon,NA Greenwood,Amir Farooq,1,0,,,,,,,,,
1451777,2024,2024-09-26,"Gymkhana Club Ground, Nairobi",1,2.6,Jersey,Qatar,NA Greenwood,H Carlyon,Amir Farooq,0,0,,,,,,,,,
1451777,2024,2024-09-26,"Gymkhana Club Ground, Nairobi",1,2.7,Jersey,Qatar,NA Greenwood,H Carlyon,Amir Farooq,2,0,,,,,,,,,
1451777,2024,2024-09-26,"Gymkhana Club Ground, Nairobi",1,3.1,Jersey,Qatar,H Carlyon,NA Greenwood,Muhammad Jabir,0,0,,,,,,,,,
1451777,2024,2024-09-26,"Gymkhana Club Ground, Nairobi",1,3.2,Jersey,Qatar,H Carlyon,NA Greenwood,Muhammad Jabir,0,0,,,,,,,,,
1451777,2024,2024-09-26,"Gymkhana Club Ground, Nairobi",1,3.3,Jersey,Qatar,H Carlyon,NA Greenwood,Muhammad Jabir,0,0,,,,,,,,,
1451777,2024,2024-09-26,"Gymkhana Club Ground, Nairobi",1,3.4,Jersey,Qatar,H Carlyon,NA Greenwood,Muhammad Jabir,0,0,,,,,,,,,
1451777,2024,2024-09-26,"Gymkhana Club Ground, Nairobi",1,3.5,Jersey,Qatar,H Carlyon,NA Greenwood,Muhammad Jabir,0,0,,,,,,,,,
1451777,2024,2024-09-26,"Gymkhana Club Ground, Nairobi",1,3.6,Jersey,Qatar,H Carlyon,NA Greenwood,Muhammad Jabir,0,0,,,,,,,,,
