match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1429578,2024,2024-08-29,"Pembroke Cricket Club, Sandymount, Dublin",1,0.1,North-West Warriors,Leinster Lightning,ST Doheny,Gavin Roulston,F Hand,0,0,,,,,,,,,
1429578,2024,2024-08-29,"Pembroke Cricket Club, Sandymount, Dublin",1,0.2,North-West Warriors,Leinster Lightning,ST Doheny,Gavin Roulston,F Hand,4,0,,,,,,,,,
1429578,2024,2024-08-29,"Pembroke Cricket Club, Sandymount, Dublin",1,0.3,North-West Warriors,Leinster Lightning,ST Doheny,Gavin Roulston,F Hand,0,1,1,,,,,,,,
1429578,2024,2024-08-29,"Pembroke Cricket Club, Sandymount, Dublin",1,0.4,North-West Warriors,Leinster Lightning,ST Doheny,Gavin Roulston,F Hand,0,0,,,,,,,,,
1429578,2024,2024-08-29,"Pembroke Cricket Club, Sandymount, Dublin",1,0.5,North-West Warriors,Leinster Lightning,ST Doheny,Gavin Roulston,F Hand,0,0,,,,,,,,,
1429578,2024,2024-08-29,"Pembroke Cricket Club, Sandymount, Dublin",1,0.6,North-West Warriors,Leinster Lightning,ST Doheny,Gavin Roulston,F Hand,1,0,,,,,,,,,
1429578,2024,2024-08-29,"Pembroke Cricket Club, Sandymount, Dublin",1,0.7,North-West Warriors,Leinster Lightning,Gavin Roulston,ST Doheny,F Hand,1,0,,,,,,,,,
1429578,2024,2024-08-29,"Pembroke Cricket Club, Sandymount, Dublin",1,1.1,North-West Warriors,Leinster Lightning,Gavin Roulston,ST Doheny,R Wilson,0,0,,,,,,,,,
1429578,2024,2024-08-29,"Pembroke Cricket Club, Sandymount, Dublin",1,1.2,North-West Warriors,Leinster Lightning,Gavin Roulston,ST Doheny,R Wilson,0,1,1,,,,,,,,
1429578,2024,2024-08-29,"Pembroke Cricket Club, Sandymount, Dublin",1,1.3,North-West Warriors,Leinster Lightning,Gavin Roulston,ST Doheny,R Wilson,0,0,,,,,,,,,
1429578,2024,2024-08-29,"Pembroke Cricket Club, Sandymount, Dublin",1,1.4,North-West Warriors,Leinster Lightning,Gavin Roulston,ST Doheny,R Wilson,1,0,,,,,,,,,
1429578,2024,2024-08-29,"Pembroke Cricket Club, Sandymount, Dublin",1,1.5,North-West Warriors,Leinster Lightning,ST Doheny,Gavin Roulston,R Wilson,0,0,,,,,,,,,
1429578,2024,2024-08-29,"Pembroke Cricket Club, Sandymount, Dublin",1,1.6,North-West Warriors,Leinster Lightning,ST Doheny,Gavin Roulston,R Wilson,1,0,,,,,,,,,
1429578,2024,2024-08-29,"Pembroke Cricket Club, Sandymount, Dublin",1,1.7,North-West Warriors,Leinster Lightning,Gavin Roulston,ST Doheny,R Wilson,0,0,,,,,,,,,
1429578,2024,2024-08-29,"Pembroke Cricket Club, Sandymount, Dublin",1,2.1,North-West Warriors,Leinster Lightning,ST Doheny,Gavin Roulston,F Hand,0,1,1,,,,,,,,
1429578,2024,2024-08-29,"Pembroke Cricket Club, Sandymount, Dublin",1,2.2,North-West Warriors,Leinster Lightning,ST Doheny,Gavin Roulston,F Hand,1,0,,,,,,,,,
1429578,2024,2024-08-29,"Pembroke Cricket Club, Sandymount, Dublin",1,2.3,North-West Warriors,Leinster Lightning,Gavin Roulston,ST Doheny,F Hand,0,0,,,,,,,,,
1429578,2024,2024-08-29,"Pembroke Cricket Club, Sandymount, Dublin",1,2.4,North-West Warriors,Leinster Lightning,Gavin Roulston,ST Doheny,F Hand,0,1,1,,,,,,,,
1429578,2024,2024-08-29,"Pembroke Cricket Club, Sandymount, Dublin",1,2.5,North-West Warriors,Leinster Lightning,Gavin Roulston,ST Doheny,F Hand,0,0,,,,,,,,,
1429578,2024,2024-08-29,"Pembroke Cricket Club, Sandymount, Dublin",1,2.6,North-West Warriors,Leinster Lightning,Gavin Roulston,ST Doheny,F Hand,0,0,,,,,,,,,
1429578,2024,2024-08-29,"Pembroke Cricket Club, Sandymount, Dublin",1,2.7,North-West Warriors,Leinster Lightning,Gavin Roulston,ST Doheny,F Hand,0,0,,,,,,,,,
1429578,2024,2024-08-29,"Pembroke Cricket Club, Sandymount, Dublin",1,2.8,North-West Warriors,Leinster Lightning,Gavin Roulston,ST Doheny,F Hand,0,0,,,,,,,,,
1429578,2024,2024-08-29,"Pembroke Cricket Club, Sandymount, Dublin",1,3.1,North-West Warriors,Leinster Lightning,ST Doheny,Gavin Roulston,R Wilson,2,0,,,,,,,,,
1429578,2024,2024-08-29,"Pembroke Cricket Club, Sandymount, Dublin",1,3.2,North-West Warriors,Leinster Lightning,ST Doheny,Gavin Roulston,R Wilson,0,0,,,,,,,,,
1429578,2024,2024-08-29,"Pembroke Cricket Club, Sandymount, Dublin",1,3.3,North-West Warriors,Leinster Lightning,ST Doheny,Gavin Roulston,R Wilson,0,0,,,,,,,,,
1429578,2024,2024-08-29,"Pembroke Cricket Club, Sandymount, Dublin",1,3.4,North-West Warriors,Leinster Lightning,ST Doheny,Gavin Roulston,R Wilson,0,0,,,,,,,,,
1429578,2024,2024-08-29,"Pembroke Cricket Club, Sandymount, Dublin",1,3.5,North-West Warriors,Leinster Lightning,ST Doheny,Gavin Roulston,R Wilson,0,0,,,,,,,,,
1429578,2024,2024-08-29,"Pembroke Cricket Club, Sandymount, Dublin",1,3.6,North-West Warriors,Leinster Lightning,ST Doheny,Gavin Roulston,R Wilson,0,1,,,,1,,,,,
1429578,2024,2024-08-29,"Pembroke Cricket Club, Sandymount, Dublin",1,4.1,North-West Warriors,Leinster Lightning,ST Doheny,Gavin Roulston,F Hand,0,0,,,,,,,,,
1429578,2024,2024-08-29,"Pembroke Cricket Club, Sandymount, Dublin",1,4.2,North-West Warriors,Leinster Lightning,ST Doheny,Gavin Roulston,F Hand,0,1,1,,,,,,,,
1429578,2024,2024-08-29,"Pembroke Cricket Club, Sandymount, Dublin",1,4.3,North-West Warriors,Leinster Lightning,ST Doheny,Gavin Roulston,F Hand,0,1,1,,,,,,,,
1429578,2024,2024-08-29,"Pembroke Cricket Club, Sandymount, Dublin",1,4.4,North-West Warriors,Leinster Lightning,ST Doheny,Gavin Roulston,F Hand,0,0,,,,,,,,,
1429578,2024,2024-08-29,"Pembroke Cricket Club, Sandymount, Dublin",1,4.5,North-West Warriors,Leinster Lightning,ST Doheny,Gavin Roulston,F Hand,1,0,,,,,,,,,
1429578,2024,2024-08-29,"Pembroke Cricket Club, Sandymount, Dublin",1,4.6,North-West Warriors,Leinster Lightning,Gavin Roulston,ST Doheny,F Hand,1,0,,,,,,,,,
1429578,2024,2024-08-29,"Pembroke Cricket Club, Sandymount, Dublin",1,4.7,North-West Warriors,Leinster Lightning,ST Doheny,Gavin Roulston,F Hand,1,0,,,,,,,,,
1429578,2024,2024-08-29,"Pembroke Cricket Club, Sandymount, Dublin",1,4.8,North-West Warriors,Leinster Lightning,Gavin Roulston,ST Doheny,F Hand,1,0,,,,,,,,,
1429578,2024,2024-08-29,"Pembroke Cricket Club, Sandymount, Dublin",1,5.1,North-West Warriors,Leinster Lightning,Gavin Roulston,ST Doheny,R Wilson,0,0,,,,,,caught,Gavin Roulston,,
1429578,2024,2024-08-29,"Pembroke Cricket Club, Sandymount, Dublin",1,5.2,North-West Warriors,Leinster Lightning,LC Doherty,ST Doheny,R Wilson,0,0,,,,,,,,,
1429578,2024,2024-08-29,"Pembroke Cricket Club, Sandymount, Dublin",1,5.3,North-West Warriors,Leinster Lightning,LC Doherty,ST Doheny,R Wilson,2,0,,,,,,,,,
1429578,2024,2024-08-29,"Pembroke Cricket Club, Sandymount, Dublin",1,5.4,North-West Warriors,Leinster Lightning,LC Doherty,ST Doheny,R Wilson,1,0,,,,,,,,,
