match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1427853,2024,2024-09-01,"Trafalgar Road Ground, Southport",1,0.1,Northern Diamonds,Thunder,L Winfield-Hill,EK Marlow,TG Norris,1,0,,,,,,,,,
1427853,2024,2024-09-01,"Trafalgar Road Ground, Southport",1,0.2,Northern Diamonds,Thunder,EK Marlow,L Winfield-Hill,TG Norris,0,0,,,,,,,,,
1427853,2024,2024-09-01,"Trafalgar Road Ground, Southport",1,0.3,Northern Diamonds,Thunder,EK Marlow,L Winfield-Hill,TG Norris,4,0,,,,,,,,,
1427853,2024,2024-09-01,"Trafalgar Road Ground, Southport",1,0.4,Northern Diamonds,Thunder,EK Marlow,L Winfield-Hill,TG Norris,0,1,1,,,,,,,,
1427853,2024,2024-09-01,"Trafalgar Road Ground, Southport",1,0.5,Northern Diamonds,Thunder,EK Marlow,L Winfield-Hill,TG Norris,0,0,,,,,,,,,
1427853,2024,2024-09-01,"Trafalgar Road Ground, Southport",1,0.6,Northern Diamonds,Thunder,EK Marlow,L Winfield-Hill,TG Norris,0,0,,,,,,,,,
1427853,2024,2024-09-01,"Trafalgar Road Ground, Southport",1,0.7,Northern Diamonds,Thunder,EK Marlow,L Winfield-Hill,TG Norris,4,0,,,,,,,,,
1427853,2024,2024-09-01,"Trafalgar Road Ground, Southport",1,1.1,Northern Diamonds,Thunder,L Winfield-Hill,EK Marlow,PC Graham,1,0,,,,,,,,,
1427853,2024,2024-09-01,"Trafalgar Road Ground, Southport",1,1.2,Northern Diamonds,Thunder,EK Marlow,L Winfield-Hill,PC Graham,4,0,,,,,,,,,
1427853,2024,2024-09-01,"Trafalgar Road Ground, Southport",1,1.3,Northern Diamonds,Thunder,EK Marlow,L Winfield-Hill,PC Graham,1,0,,,,,,,,,
1427853,2024,2024-09-01,"Trafalgar Road Ground, Southport",1,1.4,Northern Diamonds,Thunder,L Winfield-Hill,EK Marlow,PC Graham,1,0,,,,,,,,,
1427853,2024,2024-09-01,"Trafalgar Road Ground, Southport",1,1.5,Northern Diamonds,Thunder,EK Marlow,L Winfield-Hill,PC Graham,0,0,,,,,,,,,
1427853,2024,2024-09-01,"Trafalgar Road Ground, Southport",1,1.6,Northern Diamonds,Thunder,EK Marlow,L Winfield-Hill,PC Graham,0,0,,,,,,,,,
1427853,2024,2024-09-01,"Trafalgar Road Ground, Southport",1,2.1,Northern Diamonds,Thunder,L Winfield-Hill,EK Marlow,TG Norris,1,0,,,,,,,,,
1427853,2024,2024-09-01,"Trafalgar Road Ground, Southport",1,2.2,Northern Diamonds,Thunder,EK Marlow,L Winfield-Hill,TG Norris,0,0,,,,,,,,,
