match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1430843,2024,2024-08-28,"Pembroke Cricket Club, Sandymount, Dublin",1,0.1,North-West Warriors,Leinster Lightning,Gavin Roulston,K Hilton,J Moondra,0,0,,,,,,,,,
1430843,2024,2024-08-28,"Pembroke Cricket Club, Sandymount, Dublin",1,0.2,North-West Warriors,Leinster Lightning,Gavin Roulston,K Hilton,J Moondra,0,0,,,,,,,,,
1430843,2024,2024-08-28,"Pembroke Cricket Club, Sandymount, Dublin",1,0.3,North-West Warriors,Leinster Lightning,Gavin Roulston,K Hilton,J Moondra,0,1,1,,,,,,,,
1430843,2024,2024-08-28,"Pembroke Cricket Club, Sandymount, Dublin",1,0.4,North-West Warriors,Leinster Lightning,Gavin Roulston,K Hilton,J Moondra,4,0,,,,,,,,,
1430843,2024,2024-08-28,"Pembroke Cricket Club, Sandymount, Dublin",1,0.5,North-West Warriors,Leinster Lightning,Gavin Roulston,K Hilton,J Moondra,0,1,1,,,,,,,,
1430843,2024,2024-08-28,"Pembroke Cricket Club, Sandymount, Dublin",1,0.6,North-West Warriors,Leinster Lightning,Gavin Roulston,K Hilton,J Moondra,4,0,,,,,,,,,
1430843,2024,2024-08-28,"Pembroke Cricket Club, Sandymount, Dublin",1,0.7,North-West Warriors,Leinster Lightning,Gavin Roulston,K Hilton,J Moondra,0,0,,,,,,,,,
1430843,2024,2024-08-28,"Pembroke Cricket Club, Sandymount, Dublin",1,0.8,North-West Warriors,Leinster Lightning,Gavin Roulston,K Hilton,J Moondra,0,0,,,,,,,,,
1430843,2024,2024-08-28,"Pembroke Cricket Club, Sandymount, Dublin",1,1.1,North-West Warriors,Leinster Lightning,K Hilton,Gavin Roulston,F Hand,0,0,,,,,,,,,
1430843,2024,2024-08-28,"Pembroke Cricket Club, Sandymount, Dublin",1,1.2,North-West Warriors,Leinster Lightning,K Hilton,Gavin Roulston,F Hand,0,0,,,,,,,,,
1430843,2024,2024-08-28,"Pembroke Cricket Club, Sandymount, Dublin",1,1.3,North-West Warriors,Leinster Lightning,K Hilton,Gavin Roulston,F Hand,0,0,,,,,,,,,
1430843,2024,2024-08-28,"Pembroke Cricket Club, Sandymount, Dublin",1,1.4,North-West Warriors,Leinster Lightning,K Hilton,Gavin Roulston,F Hand,0,1,1,,,,,,,,
1430843,2024,2024-08-28,"Pembroke Cricket Club, Sandymount, Dublin",1,1.5,North-West Warriors,Leinster Lightning,K Hilton,Gavin Roulston,F Hand,1,0,,,,,,,,,
1430843,2024,2024-08-28,"Pembroke Cricket Club, Sandymount, Dublin",1,1.6,North-West Warriors,Leinster Lightning,Gavin Roulston,K Hilton,F Hand,0,1,1,,,,,,,,
1430843,2024,2024-08-28,"Pembroke Cricket Club, Sandymount, Dublin",1,1.7,North-West Warriors,Leinster Lightning,Gavin Roulston,K Hilton,F Hand,1,0,,,,,,,,,
1430843,2024,2024-08-28,"Pembroke Cricket Club, Sandymount, Dublin",1,1.8,North-West Warriors,Leinster Lightning,K Hilton,Gavin Roulston,F Hand,0,0,,,,,,,,,
1430843,2024,2024-08-28,"Pembroke Cricket Club, Sandymount, Dublin",1,2.1,North-West Warriors,Leinster Lightning,Gavin Roulston,K Hilton,J Moondra,0,0,,,,,,,,,
1430843,2024,2024-08-28,"Pembroke Cricket Club, Sandymount, Dublin",1,2.2,North-West Warriors,Leinster Lightning,Gavin Roulston,K Hilton,J Moondra,0,0,,,,,,,,,
1430843,2024,2024-08-28,"Pembroke Cricket Club, Sandymount, Dublin",1,2.3,North-West Warriors,Leinster Lightning,Gavin Roulston,K Hilton,J Moondra,0,0,,,,,,,,,
1430843,2024,2024-08-28,"Pembroke Cricket Club, Sandymount, Dublin",1,2.4,North-West Warriors,Leinster Lightning,Gavin Roulston,K Hilton,J Moondra,0,0,,,,,,,,,
1430843,2024,2024-08-28,"Pembroke Cricket Club, Sandymount, Dublin",1,2.5,North-West Warriors,Leinster Lightning,Gavin Roulston,K Hilton,J Moondra,0,0,,,,,,,,,
1430843,2024,2024-08-28,"Pembroke Cricket Club, Sandymount, Dublin",1,2.6,North-West Warriors,Leinster Lightning,Gavin Roulston,K Hilton,J Moondra,0,0,,,,,,caught and bowled,Gavin Roulston,,
